Pedestrian_ID,Gender,Age,Group,Vehicle_Type,Lag_Gap,Vehicle_Speed,Vehicle_Gap,Waiting_Time,Pedestrian_Speed,Vehicle_Encountered,Path_Change,Predicted_Probability,Speed_Change_Simulated
1,Male,Young,More,Three-wheeler,Lag,21.93743759809342,2.5374867358714157,18.963077940301954,0.6295778599099671,9,1,0.6115989365634216,1
2,Male,Young,Two,Heavy,Lag,19.521542545554848,1.102764504859652,4.770984282415388,2.068400331513772,4,0,0.10045939048436246,0
3,Male,Middle,Single,Four-wheeler,Lag,17.582443107624634,2.9746435686543853,16.794219456695135,0.9525951655315563,11,1,0.8501536593484723,1
4,Male,Middle,Two,Four-wheeler,Lag,27.21182762340438,3.580033357038641,17.15997106164714,1.230148842052984,4,0,0.4805192572673497,1
5,Female,Middle,Two,Heavy,Lag,24.205315365862763,5.316928635129185,2.1376159785353233,2.0079066902348814,8,0,0.12342300452042529,0
6,Male,Young,More,Three-wheeler,Lag,23.252789703397575,2.6407620508319543,4.523855777758951,1.4481333364225957,5,0,0.053988665257375716,0
7,Male,Middle,Single,Three-wheeler,Lag,19.25851623048573,3.56816804236324,11.898433709199768,1.336761863738526,2,0,0.5430992397135134,0
8,Male,Young,Single,Four-wheeler,Gap,31.556613801346735,3.7339442518207173,3.5542952250968574,1.03961304474709,7,0,0.1366895824737217,0
9,Female,Child,Single,Two-wheeler,Gap,23.120287729952643,3.9962966764758447,7.416142055549624,0.9991302115095665,5,0,0.034424117820593625,0
10,Male,Young,Single,Three-wheeler,Lag,18.940321029845496,2.9979017952254563,9.487168247549818,0.5704268592522306,8,0,0.3241755343302019,1
11,Male,Young,Two,Four-wheeler,Lag,29.820559761506573,2.0389348012142685,5.0440721792317555,1.3376660735134513,6,0,0.14132204852827138,0
12,Male,Young,Single,Four-wheeler,Lag,27.05644750410109,5.249969079137172,14.80200515224217,1.159839630233254,1,0,0.635321544905861,0
13,Male,Middle,Single,Three-wheeler,Gap,23.622467311271365,5.558371173922838,11.013527768845135,0.9117257406266055,3,0,0.44692599107414394,1
14,Male,Middle,Single,Four-wheeler,Lag,24.102690622773856,3.3433182849480705,13.55027173767893,1.1076511488134124,8,0,0.4294708931443367,0
15,Male,Middle,Single,Two-wheeler,Lag,18.940360677049743,3.7775418006674224,10.66535807245387,1.9659704175872807,6,0,0.2951573678652844,0
16,Male,Young,More,Heavy,Lag,20.121890317375975,1.467890324732085,9.634253465065424,1.7145274302863625,6,0,0.04032336635071112,0
17,Male,Middle,Two,Two-wheeler,Gap,15.150097349164389,1.6548064450052478,10.96860820091025,1.1601854204034783,0,0,0.06085503601418998,0
18,Female,Middle,Single,Four-wheeler,Gap,21.37129936596819,1.8901065801504253,20.136496433055427,2.1984114372397467,4,0,0.33296286894400695,0
19,Male,Young,Two,Three-wheeler,Lag,18.16037564732241,4.3085490723194475,9.35957375972417,1.1959368335422829,8,0,0.29961831201564504,1
20,Male,Middle,Single,Three-wheeler,Lag,17.824067246158926,2.6398309696488127,13.5959059090038,1.0670458211010967,12,0,0.42610704228433016,0
21,Male,Young,More,Three-wheeler,Gap,29.110456200324556,2.4661439592454664,17.89825289403995,1.111899032356343,7,0,0.1145436952338656,0
22,Male,Young,Two,Two-wheeler,Gap,14.580587401020374,1.1759242235044072,13.205025168805342,1.770425678659734,6,1,0.3585893174539005,0
23,Male,Young,Two,Three-wheeler,Lag,25.36214330951517,1.3931162333865,6.394359988855216,0.9684044538590337,6,0,0.17444361079052426,0
24,Male,Young,More,Four-wheeler,Lag,16.784364376634404,3.2423164410579277,4.288334212581422,0.9087555688221864,8,0,0.02259349155741467,0
25,Male,Young,More,Four-wheeler,Lag,9.608491704889687,3.657752033447804,12.661698737907793,2.0580349967546967,10,0,0.06209416443855572,0
26,Female,Young,More,Two-wheeler,Lag,10.407670049400393,3.7728322346178915,15.287224502431734,1.5257445153756106,3,1,0.24412949063397618,1
27,Male,Young,Single,Four-wheeler,Gap,19.019560973223992,3.403295255951752,16.210187479878176,1.5689268779682466,9,0,0.30032215114070443,0
28,Female,Elder,Single,Four-wheeler,Gap,19.378158646932103,3.408311873989551,14.592486246672253,1.534332748035587,3,1,0.5394103876412476,1
29,Female,Young,Two,Four-wheeler,Lag,17.406517753283687,4.363325486364136,1.1265362210129517,1.4562081389823098,1,1,0.4088047714361147,0
30,Male,Young,Two,Three-wheeler,Lag,22.46450702484928,2.866573894755497,16.33057922174138,0.7015745293978434,1,0,0.46931010521050603,1
31,Male,Young,Two,Two-wheeler,Lag,19.81290361246833,2.6798116054257597,12.907017149581524,1.5538249912557398,1,0,0.19934023169691634,1
32,Male,Elder,More,Heavy,Lag,12.000719225050025,4.815014856444544,27.368534443129807,0.9442809374426792,4,0,0.17735997782821925,0
33,Male,Middle,Single,Three-wheeler,Gap,17.83363721552115,4.1309237070260165,16.113446585107987,0.7751711203073453,2,1,0.8757805195845869,0
34,Male,Elder,Single,Three-wheeler,Gap,12.954354211494366,3.4608485527823847,9.92973044580548,2.230430676494264,1,1,0.6593690267721395,0
35,Male,Young,Two,Four-wheeler,Lag,11.543565207103503,2.8171349953481224,14.2429062302677,0.5571082591312919,2,1,0.6801955353008016,0
36,Female,Young,Single,Three-wheeler,Gap,15.48264826667037,2.2438611238834385,13.11125788774766,0.5673760529707302,1,1,0.6304242498756369,0
37,Female,Middle,Two,Four-wheeler,Gap,22.966031256967714,1.559650109232024,8.370410554929395,1.0204539731243427,4,0,0.05038563048923643,0
38,Male,Young,More,Two-wheeler,Lag,22.89251768194816,4.804641039240002,11.665003321497181,1.706208322033085,10,0,0.06464436881326056,1
39,Male,Middle,Two,Four-wheeler,Lag,26.10269563926167,3.817512012365773,5.983474088818764,2.1795227109534476,7,0,0.23857229999550356,0
40,Male,Elder,Two,Heavy,Lag,23.911411625446217,1.641993904953439,3.49729292449273,0.7515364351434315,1,0,0.04749963983496587,0
41,Male,Young,Two,Heavy,Lag,20.517709402009118,2.3506404338346325,15.408016042473129,1.1204957817219152,5,0,0.27200106583320516,0
42,Male,Elder,Two,Heavy,Gap,17.28668352715064,2.8317613962357253,9.160132688857889,1.5257911838604106,5,0,0.04911003929794606,0
43,Male,Middle,Single,Four-wheeler,Lag,6.847402720591347,2.773190742340118,15.909893264919631,1.4088643304375035,2,0,0.3798184683675648,0
44,Male,Young,More,Three-wheeler,Lag,22.134232416315324,3.6782902160597915,10.900560960818982,0.923872779879237,5,0,0.10837618812504275,1
45,Male,Young,Two,Heavy,Gap,16.919686744175067,3.223887109986167,17.230183377551352,1.0435523745903286,4,0,0.1930835494797892,0
46,Male,Child,Single,Heavy,Lag,16.251065549887517,4.9741316590301565,15.551101154355722,1.3471293355637801,6,0,0.319973579043016,0
